108.74 -9.24 32 0.89 -0.99 0.10 0.82 -0.12 0.20 24 X Y 201701022102A  
113.19 -8.66 153 -0.31 0.39 -0.08 1.84 0.15 -0.63 23 X Y 201702071721A  
107.57 -7.99 79 1.86 -2.43 0.57 0.79 -0.32 0.32 23 X Y 201702151853A  
114.62 -11.73 12 -1.03 1.38 -0.34 0.53 -0.15 0.06 24 X Y 201703161839A  
111.92 -9.79 17 -1.43 1.20 0.23 0.23 -0.63 -0.19 23 X Y 201704092322A  
108.05 -8.26 67 4.20 -4.96 0.76 2.26 -0.12 1.02 23 X Y 201704231801A  
111.87 -9.75 12 -1.96 1.56 0.40 0.66 -0.19 -0.32 24 X Y 201704291002A  
112.02 -9.01 63 -3.09 2.42 0.67 4.27 -0.26 1.82 23 X Y 201705241644A  
106.27 -8.32 38 1.48 0.50 -1.98 1.56 -1.71 -3.62 24 X Y 201706112315A  
106.10 -7.51 16 0.14 -0.00 -0.14 0.97 -0.42 0.09 24 X Y 201707082248A  
111.87 -9.76 20 -2.16 0.33 1.84 -0.30 0.95 -0.09 23 X Y 201707170905A  
109.09 -8.45 74 2.92 -3.49 0.56 1.49 -0.18 0.07 23 X Y 201708031614A  
111.15 -10.54 12 -0.84 0.80 0.05 0.15 -0.02 -0.23 24 X Y 201708270002A  
113.09 -11.47 21 -2.09 1.64 0.45 0.40 -0.38 -0.43 23 X Y 201709010347A  
113.05 -6.12 595 -3.92 3.60 0.32 -2.39 1.44 -0.88 24 X Y 201709202359A  
106.27 -6.12 162 -0.06 -1.10 1.16 -1.47 1.35 -0.96 23 X Y 201709251810A  
113.09 -9.72 34 2.83 -2.98 0.16 1.00 -0.09 0.49 23 X Y 201710251635A  
108.11 -7.91 109 0.22 0.50 -0.73 0.38 -0.28 -0.27 26 X Y 201712151647A  
106.85 -8.15 38 0.75 -0.62 -0.13 0.64 -0.68 0.42 24 X Y 201712160022A  
106.16 -7.18 53 0.22 -1.02 0.80 0.82 0.57 -0.17 25 X Y 201801230634A  
105.95 -7.43 55 3.45 -3.14 -0.32 1.82 0.06 2.49 23 X Y 201803191136A  
105.78 -7.19 51 2.76 -2.86 0.11 1.63 -0.83 1.20 23 X Y 201804091146A  
112.94 -9.80 38 1.28 -1.49 0.22 0.86 -0.10 0.44 24 X Y 201807191223A  
112.67 -9.00 79 1.79 -3.22 1.43 1.55 -0.31 -0.56 23 X Y 201808080609A  
114.79 -9.26 93 2.04 -0.68 -1.36 -1.72 2.19 1.06 23 X Y 201808222248A  
110.27 -8.99 48 0.56 -0.62 0.05 0.64 -0.15 0.41 24 X Y 201808281836A  
114.48 -7.45 14 1.02 -0.89 -0.14 -0.20 0.25 0.49 25 X Y 201810101844A  
105.46 -9.03 12 -3.80 1.32 2.48 -0.04 -0.21 -1.92 23 X Y 201810131938A  
106.04 -6.31 167 1.18 -0.93 -0.25 0.32 -1.61 -1.24 23 X Y 201810250548A  
108.59 -10.47 14 -1.99 1.18 0.81 0.58 0.59 -0.82 23 X Y 201901011225A  
106.56 -7.92 48 2.69 -3.37 0.68 1.76 -0.23 1.35 23 X Y 201901080954A  
105.82 -7.03 65 -1.08 0.93 0.15 0.10 -1.43 1.63 23 X Y 201902132341A  
112.84 -9.74 35 2.07 -2.53 0.46 2.83 -1.63 0.93 24 X Y 201902181930A  
110.42 -5.64 560 -4.54 4.40 0.14 -2.38 -4.64 -2.71 23 X Y 201903120112A  
114.51 -7.27 18 2.34 -2.23 -0.11 -0.32 -1.05 0.58 23 X Y 201904020122A  
108.68 -9.59 19 -2.78 2.81 -0.03 1.02 -1.43 -1.70 24 X Y 201905180151A  
108.87 -8.66 58 1.19 -1.20 0.01 0.78 -0.38 0.53 24 X Y 201906090932A  
114.50 -9.01 103 2.84 1.01 -3.84 -4.03 0.15 2.69 24 X Y 201907160018A  
114.14 -8.93 105 0.69 -0.62 -0.07 -1.34 0.21 -0.69 23 X Y 201907240129A  
114.97 -11.22 20 0.82 -0.86 0.04 0.74 -0.10 0.09 24 X Y 201907241317A  
106.01 -7.43 62 2.27 -2.31 0.03 1.14 0.16 1.42 23 X Y 201907281425A  
113.99 -9.73 46 -2.53 2.07 0.46 0.86 0.38 -0.58 23 X Y 201908112251A  
111.83 -6.07 623 -2.06 1.85 0.20 0.05 -0.29 -0.46 25 X Y 201909190706A  
