time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-02T12:45:53.798Z,-7.2013,106.0182,57.032,4.5,mb,31,180,1.628,0.79,us,us6000jms3,2023-04-13T21:53:29.040Z,"63 km WSW of Pelabuhanratu, Indonesia",earthquake,10.71,8.289,0.145,14,reviewed,us,us
2023-02-01T15:57:20.415Z,-7.2931,107.6331,10,4.5,mb,42,57,0.467,0.45,us,us6000jks8,2023-04-13T21:53:16.040Z,"24 km ESE of Banjar, Indonesia",earthquake,6.27,1.84,0.108,25,reviewed,us,us
2023-01-27T18:00:35.322Z,-6.892,107.8236,11.576,4.2,mb,21,108,0.219,0.65,us,us6000jm17,2023-04-11T18:51:48.040Z,"9 km ENE of Cileunyi, Indonesia",earthquake,7,3.815,0.159,13,reviewed,us,us
2023-01-26T03:33:27.238Z,-6.9215,110.3441,254.155,4.1,mb,20,88,0.159,0.53,us,us6000jlty,2023-04-11T18:51:42.040Z,"11 km NW of Semarang, Indonesia",earthquake,9.42,5.054,0.214,6,reviewed,us,us
2023-01-23T19:45:00.460Z,-6.8426,106.9767,10.84,4.5,mb,22,121,0.633,0.52,us,us6000jlxv,2023-04-11T18:51:45.040Z,"10 km NNE of Sukabumi, Indonesia",earthquake,6.2,4.533,0.191,8,reviewed,us,us
2023-01-14T20:32:18.287Z,-6.2165,106.681,154.129,4.8,mb,67,54,1.106,0.92,us,us7000j4fe,2023-03-20T06:03:43.040Z,"",earthquake,4.19,5.077,0.059,91,reviewed,us,us
2023-01-10T09:23:19.348Z,-7.9957,107.9128,70.298,4,mb,21,170,0.59,0.7,us,us7000j5jh,2023-03-20T06:03:52.040Z,"Java, Indonesia",earthquake,9.53,7.578,0.184,8,reviewed,us,us
2023-01-09T12:26:33.947Z,-8.8299,111.1757,67.859,5.3,mww,79,48,1.117,0.71,us,us7000j34c,2023-03-20T06:03:06.040Z,"101 km SW of Trenggalek, Indonesia",earthquake,6.74,5.742,0.086,13,reviewed,us,us
2023-01-04T18:32:54.581Z,-7.1121,105.1243,35,4.6,mb,27,166,2.488,0.78,us,us7000j479,2023-03-11T22:51:49.040Z,"112 km SW of Labuan, Indonesia",earthquake,8.45,1.936,0.152,13,reviewed,us,us
2023-01-02T23:55:20.854Z,-8.2412,107.9549,82.842,4.5,mb,64,84,2.564,0.85,us,us7000j1q7,2023-03-11T22:51:33.040Z,"Java, Indonesia",earthquake,9.52,6.363,0.079,47,reviewed,us,us
2022-12-27T18:45:48.104Z,-7.6972,108.1314,84.056,4.4,mb,30,96,1.009,0.62,us,us7000j35q,2023-03-07T19:00:07.040Z,"35 km SSW of Kawalu, Indonesia",earthquake,9.07,2.695,0.117,23,reviewed,us,us
2022-12-27T07:24:15.072Z,-9.1497,109.6002,45.482,4.2,mb,26,88,1.531,0.93,us,us7000j35d,2023-03-07T19:00:06.040Z,"south of Java, Indonesia",earthquake,5.66,6.91,0.152,12,reviewed,us,us
2022-12-24T20:57:34.587Z,-9.1684,109.5722,46.858,5,mb,88,53,1.563,0.71,us,us6000jbha,2023-03-07T18:59:46.040Z,"155 km SSW of Srandakan, Indonesia",earthquake,7.51,3.606,0.058,97,reviewed,us,us
2022-12-24T20:57:17.440Z,-9.2275,109.5294,27.214,4.7,mb,21,131,1.635,1.02,us,us7000j2bt,2023-03-07T19:00:04.040Z,"south of Java, Indonesia",earthquake,10.21,6.265,0.174,13,reviewed,us,us
2022-12-21T21:18:27.016Z,-7.0372,108.4609,11.692,4.2,mb,9,142,1.965,0.63,us,us7000j41n,2023-02-28T23:06:41.040Z,"",earthquake,8.21,6.402,0.263,4,reviewed,us,us
