time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-27T05:53:51.021Z,-6.4677,106.0679,143.49,4.4,mb,,86,1.855,0.59,us,us7000gxm5,2022-06-04T20:42:08.040Z,"18 km SSW of Pandeglang, Indonesia",earthquake,6.6,7.1,0.087,38,reviewed,us,us
2022-03-19T14:10:18.127Z,-6.8543,105.3922,35,4.6,mb,,48,2.32,0.73,us,us6000h615,2022-05-28T18:35:18.040Z,"71 km SW of Labuan, Indonesia",earthquake,7.9,1.9,0.093,34,reviewed,us,us
2022-03-18T15:04:01.911Z,-8.1649,106.7877,25.19,4.8,mb,,77,1.103,0.98,us,us6000h5q7,2022-05-27T14:55:36.040Z,"128 km SSW of Banjar, Indonesia",earthquake,5.9,5,0.07,63,reviewed,us,us
2022-03-17T20:53:30.403Z,-6.2991,106.4256,149.6,4.6,mb,,46,1.29,1.09,us,us6000h5jd,2022-05-27T14:55:34.040Z,"11 km SW of Cikupa, Indonesia",earthquake,8.4,4.9,0.066,69,reviewed,us,us
2022-03-16T06:11:27.568Z,-7.7346,106.8097,35,4.4,mb,,127,0.875,1.25,us,us6000h6g8,2022-05-27T14:55:40.040Z,"87 km SSE of Pelabuhanratu, Indonesia",earthquake,6,2,0.24,7,reviewed,us,us
2022-03-16T04:06:42.148Z,-7.8224,106.8659,35,4.5,mb,,107,0.855,0.81,us,us6000h6fx,2022-05-27T14:55:40.040Z,"93 km SW of Banjar, Indonesia",earthquake,5.3,1.8,0.205,7,reviewed,us,us
2022-03-16T03:00:03.847Z,-7.6341,107.0324,50.19,5.3,mww,,51,0.635,0.91,us,us6000h4xf,2023-03-16T11:10:49.614Z,"65 km SW of Banjar, Indonesia",earthquake,7,5.3,0.078,16,reviewed,us,us
2022-03-15T16:53:20.995Z,-7.2364,107.4156,13.9,4.2,mb,,200,0.323,0.26,us,us6000h5tr,2022-05-27T14:55:39.040Z,"4 km SSW of Banjar, Indonesia",earthquake,6.1,7,0.214,7,reviewed,us,us
2022-03-12T20:00:25.524Z,-7.3983,106.0451,29.69,4,mb,,128,1.592,1.15,us,us6000h5e3,2022-05-27T14:55:32.040Z,"72 km SW of Pelabuhanratu, Indonesia",earthquake,5.3,8,0.195,7,reviewed,us,us
2022-03-12T06:19:56.957Z,-7.2179,105.774,35,4.4,mb,,134,1.876,1.32,us,us6000h5de,2022-05-27T14:55:31.040Z,"89 km WSW of Pelabuhanratu, Indonesia",earthquake,6.2,1.9,0.19,9,reviewed,us,us
2022-03-12T05:31:11.226Z,-7.3172,106.0704,42.31,5.3,mww,,54,1.573,1.02,us,us6000h3ys,2022-05-27T14:55:19.040Z,"64 km SW of Pelabuhanratu, Indonesia",earthquake,6.6,6.6,0.075,17,reviewed,us,us
2022-03-04T13:14:17.791Z,-7.206,105.2812,42.17,4.4,mwr,,90,2.363,0.74,us,us6000h215,2022-05-07T21:32:51.040Z,"109 km SSW of Labuan, Indonesia",earthquake,7.8,6.6,0.075,17,reviewed,us,us
2022-03-02T22:19:25.704Z,-8.1222,108.8825,95.24,4.3,mb,,95,1.386,0.98,us,us6000h2ty,2022-05-07T21:32:55.040Z,"67 km SW of Kroya, Indonesia",earthquake,7,6.3,0.169,10,reviewed,us,us
2022-03-01T15:12:27.163Z,-8.3929,107.6412,65.6,4.9,mb,,78,0.924,0.89,us,us6000h13s,2022-08-06T09:33:44.651Z,"126 km SSW of Singaparna, Indonesia",earthquake,6.4,5.8,0.075,58,reviewed,us,us
2022-02-28T15:38:09.418Z,-7.4239,105.9484,53,4.6,mb,,116,1.687,1,us,us6000h0sh,2022-05-07T21:32:37.040Z,"Java, Indonesia",earthquake,8.4,9,0.094,37,reviewed,us,us
2022-02-24T02:35:01.543Z,-8.5571,105.4141,10,4.2,mb,,150,1.9,0.68,us,us6000h152,2022-05-04T13:40:12.040Z,"214 km SW of Pelabuhanratu, Indonesia",earthquake,6,1.9,0.159,11,reviewed,us,us
2022-02-19T11:57:44.994Z,-8.7386,109.2577,49.71,4.3,mb,,128,1.497,0.47,us,us6000gzjq,2022-05-04T13:38:37.040Z,"122 km S of Kroya, Indonesia",earthquake,7.7,2.3,0.119,24,reviewed,us,us
2022-02-17T17:09:43.389Z,-6.3943,106.1237,151.94,4.1,mb,,126,1.54,0.56,us,us7000gmzz,2022-04-30T14:18:23.040Z,"9 km S of Pandeglang, Indonesia",earthquake,7.1,8.4,0.151,12,reviewed,us,us
2022-02-04T10:10:46.682Z,-7.2617,105.9667,44.85,5.2,mww,,31,1.681,0.47,us,us7000ghwb,2023-03-16T12:56:03.857Z,"71 km WSW of Pelabuhanratu, Indonesia",earthquake,5,4.1,0.093,11,reviewed,us,us
2022-02-02T03:23:01.481Z,-7.9885,107.7884,51.82,4.3,mb,,111,2.709,0.98,us,us7000gj3k,2022-04-15T17:57:25.040Z,"78 km SSW of Singaparna, Indonesia",earthquake,8.7,9.7,0.216,6,reviewed,us,us
2022-02-01T23:59:37.722Z,-7.1929,105.0262,31.04,4.5,mb,,142,2.595,1.03,us,us7000giw1,2022-04-15T17:57:24.040Z,"Java, Indonesia",earthquake,7.9,5.1,0.15,13,reviewed,us,us
2022-01-27T16:03:03.386Z,-8.7278,108.0851,21.15,5,mb,,27,1.328,0.82,us,us7000gfk4,2022-04-09T20:19:11.040Z,"Java, Indonesia",earthquake,2.9,3.8,0.06,94,reviewed,us,us
2022-01-19T01:39:42.170Z,-7.5394,105.6899,35,4.3,mb,,132,1.945,1.08,us,us7000gfkg,2022-04-01T17:40:35.040Z,"113 km WSW of Pelabuhanratu, Indonesia",earthquake,6.5,2,0.239,5,reviewed,us,us
2022-01-17T00:35:22.130Z,-6.9094,106.0807,32.54,4.5,mb,,140,1.651,0.55,us,us7000gf0i,2022-04-01T17:40:31.040Z,"52 km W of Pelabuhanratu, Indonesia",earthquake,10.5,6.7,0.131,17,reviewed,us,us
2022-01-17T00:25:57.521Z,-7.5134,105.8582,35,5,mww,,52,1.777,1.15,us,us7000gcjn,2022-04-01T17:40:14.040Z,"96 km SW of Pelabuhanratu, Indonesia",earthquake,5.9,1.9,0.098,10,reviewed,us,us
2022-01-15T05:42:26.449Z,-7.0961,105.0679,35,4.6,mb,,153,2.587,0.87,us,us7000gevi,2022-04-01T17:40:28.040Z,"115 km SW of Labuan, Indonesia",earthquake,8.6,2,0.223,6,reviewed,us,us
2022-01-15T02:29:40.234Z,-6.8029,105.2852,51.77,4.8,mb,,63,2.313,1,us,us7000gc5t,2022-04-01T17:40:10.040Z,"76 km SW of Labuan, Indonesia",earthquake,4.3,6.6,0.093,40,reviewed,us,us
2022-01-14T20:34:29.081Z,-7.0285,105.2305,46.12,4.6,mb,,50,2.375,1.24,us,us7000gc3e,2022-03-19T22:08:02.040Z,"97 km SW of Labuan, Indonesia",earthquake,6.7,6.2,0.069,70,reviewed,us,us
